"protocol_version","trial_id","session_id","participant_id","session_start_wall_iso","runtime_commit","runtime_mode","runtime_config_reference","checkpoint_id","camera_id","camera_resolution","lighting_condition","background_condition","participant_distance","glasses_or_occlusion","calibration_outcome","output_directory","scenario_id","scenario_group","scenario_name","round","round_status","expected_event_family","expected_event_label","expected_secondary_event_family","expected_secondary_event_label","expected_handling","physical_subtype","pre_neutral_s","cue_duration_s","recovery_s","cue_onset_wall_iso","cue_offset_wall_iso","observed_cue_duration_s","clock_alignment_available","clock_alignment_method","alignment_reference_wall_iso","alignment_reference_runtime_s","actual_event","actual_secondary_event","event_start_runtime_s","event_end_runtime_s","runtime_event_duration_s","start_record_runtime_s","end_record_runtime_s","start_confirmation_delay_s","end_emission_delay_s","logger_start_wall_iso","logger_end_wall_iso","boundary_start_error_s","boundary_end_error_s","duration_error_s","frame_is_loggable","head_can_trigger_event","gaze_output_available","gaze_event_eligible","reliability_state","concurrent_cues","expected_event_detected","missed_event","false_alert","duplicate_event","lifecycle_failure","logging_failure","eligibility_failure","deviation_code","notes"
"1.0","H03_R2","","","","","async_latest_frame","","5e","","","","","","","","","H03","core-head","Head up","2","PLANNED","head","HEAD_UP","","","Expected head event","up","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H03_R3","","","","","async_latest_frame","","5e","","","","","","","","","H03","core-head","Head up","3","PLANNED","head","HEAD_UP","","","Expected head event","up","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H04_R1","","","","","async_latest_frame","","5e","","","","","","","","","H04","core-head","Head down","1","PLANNED","head","HEAD_DOWN","","","Expected head event","down","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H04_R2","","","","","async_latest_frame","","5e","","","","","","","","","H04","core-head","Head down","2","PLANNED","head","HEAD_DOWN","","","Expected head event","down","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H04_R3","","","","","async_latest_frame","","5e","","","","","","","","","H04","core-head","Head down","3","PLANNED","head","HEAD_DOWN","","","Expected head event","down","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G01_R1","","","","","async_latest_frame","","5e","","","","","","","","","G01","core-gaze","Gaze left with head forward","1","PLANNED","gaze","gaze:LOOKING_LEFT","","","Expected eligible gaze-deviation event","left","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G01_R2","","","","","async_latest_frame","","5e","","","","","","","","","G01","core-gaze","Gaze left with head forward","2","PLANNED","gaze","gaze:LOOKING_LEFT","","","Expected eligible gaze-deviation event","left","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G01_R3","","","","","async_latest_frame","","5e","","","","","","","","","G01","core-gaze","Gaze left with head forward","3","PLANNED","gaze","gaze:LOOKING_LEFT","","","Expected eligible gaze-deviation event","left","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G02_R1","","","","","async_latest_frame","","5e","","","","","","","","","G02","core-gaze","Gaze right with head forward","1","PLANNED","gaze","gaze:LOOKING_RIGHT","","","Expected eligible gaze-deviation event","right","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G02_R2","","","","","async_latest_frame","","5e","","","","","","","","","G02","core-gaze","Gaze right with head forward","2","PLANNED","gaze","gaze:LOOKING_RIGHT","","","Expected eligible gaze-deviation event","right","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G02_R3","","","","","async_latest_frame","","5e","","","","","","","","","G02","core-gaze","Gaze right with head forward","3","PLANNED","gaze","gaze:LOOKING_RIGHT","","","Expected eligible gaze-deviation event","right","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G03_R1","","","","","async_latest_frame","","5e","","","","","","","","","G03","core-gaze","Gaze up with head forward","1","PLANNED","gaze","gaze:LOOKING_UP","","","Expected eligible gaze-deviation event","up","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G03_R2","","","","","async_latest_frame","","5e","","","","","","","","","G03","core-gaze","Gaze up with head forward","2","PLANNED","gaze","gaze:LOOKING_UP","","","Expected eligible gaze-deviation event","up","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G03_R3","","","","","async_latest_frame","","5e","","","","","","","","","G03","core-gaze","Gaze up with head forward","3","PLANNED","gaze","gaze:LOOKING_UP","","","Expected eligible gaze-deviation event","up","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G04_R1","","","","","async_latest_frame","","5e","","","","","","","","","G04","core-gaze","Gaze down with head forward","1","PLANNED","gaze","gaze:LOOKING_DOWN","","","Expected eligible gaze-deviation event","down","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G04_R2","","","","","async_latest_frame","","5e","","","","","","","","","G04","core-gaze","Gaze down with head forward","2","PLANNED","gaze","gaze:LOOKING_DOWN","","","Expected eligible gaze-deviation event","down","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","G04_R3","","","","","async_latest_frame","","5e","","","","","","","","","G04","core-gaze","Gaze down with head forward","3","PLANNED","gaze","gaze:LOOKING_DOWN","","","Expected eligible gaze-deviation event","down","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O01_R1","","","","","async_latest_frame","","5e","","","","","","","","","O01","core-object","Phone","1","PLANNED","object","phone","","","Expected object event","phone","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O01_R2","","","","","async_latest_frame","","5e","","","","","","","","","O01","core-object","Phone","2","PLANNED","object","phone","","","Expected object event","phone","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O01_R3","","","","","async_latest_frame","","5e","","","","","","","","","O01","core-object","Phone","3","PLANNED","object","phone","","","Expected object event","phone","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O02_R1","","","","","async_latest_frame","","5e","","","","","","","","","O02","core-object","Open laptop","1","PLANNED","object","computer_device","","","Expected object event","open laptop","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O02_R2","","","","","async_latest_frame","","5e","","","","","","","","","O02","core-object","Open laptop","2","PLANNED","object","computer_device","","","Expected object event","open laptop","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O02_R3","","","","","async_latest_frame","","5e","","","","","","","","","O02","core-object","Open laptop","3","PLANNED","object","computer_device","","","Expected object event","open laptop","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O03_R1","","","","","async_latest_frame","","5e","","","","","","","","","O03","core-object","Book or notes","1","PLANNED","object","book_notes","","","Expected object event","book or notes","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O03_R2","","","","","async_latest_frame","","5e","","","","","","","","","O03","core-object","Book or notes","2","PLANNED","object","book_notes","","","Expected object event","book or notes","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O03_R3","","","","","async_latest_frame","","5e","","","","","","","","","O03","core-object","Book or notes","3","PLANNED","object","book_notes","","","Expected object event","book or notes","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O04_R1","","","","","async_latest_frame","","5e","","","","","","","","","O04","core-object","Calculator","1","PLANNED","object","calculator","","","Expected object event","calculator","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O04_R2","","","","","async_latest_frame","","5e","","","","","","","","","O04","core-object","Calculator","2","PLANNED","object","calculator","","","Expected object event","calculator","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O04_R3","","","","","async_latest_frame","","5e","","","","","","","","","O04","core-object","Calculator","3","PLANNED","object","calculator","","","Expected object event","calculator","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O05_R1","","","","","async_latest_frame","","5e","","","","","","","","","O05","core-object","Watch","1","PLANNED","object","watch","","","Expected object event","watch","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O05_R2","","","","","async_latest_frame","","5e","","","","","","","","","O05","core-object","Watch","2","PLANNED","object","watch","","","Expected object event","watch","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O05_R3","","","","","async_latest_frame","","5e","","","","","","","","","O05","core-object","Watch","3","PLANNED","object","watch","","","Expected object event","watch","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O06_R1","","","","","async_latest_frame","","5e","","","","","","","","","O06","core-object","Over-ear headphone or headset","1","PLANNED","object","audio_device","","","Expected object event; mark DEFERRED if a suitable over-ear device is unavailable","over-ear headphone or headset","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O06_R2","","","","","async_latest_frame","","5e","","","","","","","","","O06","core-object","Over-ear headphone or headset","2","PLANNED","object","audio_device","","","Expected object event; mark DEFERRED if a suitable over-ear device is unavailable","over-ear headphone or headset","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","O06_R3","","","","","async_latest_frame","","5e","","","","","","","","","O06","core-object","Over-ear headphone or headset","3","PLANNED","object","audio_device","","","Expected object event; mark DEFERRED if a suitable over-ear device is unavailable","over-ear headphone or headset","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","P01_R1","","","","","async_latest_frame","","5e","","","","","","","","","P01","core-person-state","No person","1","PLANNED","person state","NO_PERSON","","","Expected NO_PERSON event after the participant fully leaves the frame. The trial is invalid if the participant's face remains visibly present.","no person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","P01_R2","","","","","async_latest_frame","","5e","","","","","","","","","P01","core-person-state","No person","2","PLANNED","person state","NO_PERSON","","","Expected NO_PERSON event after the participant fully leaves the frame. The trial is invalid if the participant's face remains visibly present.","no person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","P01_R3","","","","","async_latest_frame","","5e","","","","","","","","","P01","core-person-state","No person","3","PLANNED","person state","NO_PERSON","","","Expected NO_PERSON event after the participant fully leaves the frame. The trial is invalid if the participant's face remains visibly present.","no person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","P02_R1","","","","","async_latest_frame","","5e","","","","","","","","","P02","core-person-state","Multiple persons","1","PLANNED","person state","MULTIPLE_PERSONS","","","Expected person-state event; mark DEFERRED if a second participant is unavailable","multiple persons","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","P02_R2","","","","","async_latest_frame","","5e","","","","","","","","","P02","core-person-state","Multiple persons","2","PLANNED","person state","MULTIPLE_PERSONS","","","Expected person-state event; mark DEFERRED if a second participant is unavailable","multiple persons","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","P02_R3","","","","","async_latest_frame","","5e","","","","","","","","","P02","core-person-state","Multiple persons","3","PLANNED","person state","MULTIPLE_PERSONS","","","Expected person-state event; mark DEFERRED if a second participant is unavailable","multiple persons","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","M01_R1","","","","","async_latest_frame","","5e","","","","","","","","","M01","core-multi-cue","Head left plus phone","1","PLANNED","head","HEAD_LEFT","object","phone","Both events expected concurrently","head left plus phone","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","M01_R2","","","","","async_latest_frame","","5e","","","","","","","","","M01","core-multi-cue","Head left plus phone","2","PLANNED","head","HEAD_LEFT","object","phone","Both events expected concurrently","head left plus phone","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","M01_R3","","","","","async_latest_frame","","5e","","","","","","","","","M01","core-multi-cue","Head left plus phone","3","PLANNED","head","HEAD_LEFT","object","phone","Both events expected concurrently","head left plus phone","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","M02_R1","","","","","async_latest_frame","","5e","","","","","","","","","M02","core-multi-cue","Gaze right plus book or notes","1","PLANNED","gaze","gaze:LOOKING_RIGHT","object","book_notes","Keep head forward; both events expected concurrently","gaze right plus book or notes","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","M02_R2","","","","","async_latest_frame","","5e","","","","","","","","","M02","core-multi-cue","Gaze right plus book or notes","2","PLANNED","gaze","gaze:LOOKING_RIGHT","object","book_notes","Keep head forward; both events expected concurrently","gaze right plus book or notes","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","M02_R3","","","","","async_latest_frame","","5e","","","","","","","","","M02","core-multi-cue","Gaze right plus book or notes","3","PLANNED","gaze","gaze:LOOKING_RIGHT","object","book_notes","Keep head forward; both events expected concurrently","gaze right plus book or notes","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R01_R1","","","","","async_latest_frame","","5e","","","","","","","","","R01","reliability","Natural blink during neutral posture","1","PLANNED","","","","","No independent gaze-deviation event caused only by the blink","natural blink","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R01_R2","","","","","async_latest_frame","","5e","","","","","","","","","R01","reliability","Natural blink during neutral posture","2","PLANNED","","","","","No independent gaze-deviation event caused only by the blink","natural blink","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R01_R3","","","","","async_latest_frame","","5e","","","","","","","","","R01","reliability","Natural blink during neutral posture","3","PLANNED","","","","","No independent gaze-deviation event caused only by the blink","natural blink","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R02_R1","","","","","async_latest_frame","","5e","","","","","","","","","R02","reliability","Brief eye closure with head forward","1","PLANNED","","","","","Gaze may become unavailable or ineligible; no forced directional gaze event","brief eye closure","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R02_R2","","","","","async_latest_frame","","5e","","","","","","","","","R02","reliability","Brief eye closure with head forward","2","PLANNED","","","","","Gaze may become unavailable or ineligible; no forced directional gaze event","brief eye closure","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R02_R3","","","","","async_latest_frame","","5e","","","","","","","","","R02","reliability","Brief eye closure with head forward","3","PLANNED","","","","","Gaze may become unavailable or ineligible; no forced directional gaze event","brief eye closure","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R03_R1","","","","","async_latest_frame","","5e","","","","","","","","","R03","reliability","Large head turn during gaze cue","1","PLANNED","","","","","Inspect head_can_trigger_event and gaze-event suppression","large head turn","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R03_R2","","","","","async_latest_frame","","5e","","","","","","","","","R03","reliability","Large head turn during gaze cue","2","PLANNED","","","","","Inspect head_can_trigger_event and gaze-event suppression","large head turn","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R03_R3","","","","","async_latest_frame","","5e","","","","","","","","","R03","reliability","Large head turn during gaze cue","3","PLANNED","","","","","Inspect head_can_trigger_event and gaze-event suppression","large head turn","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R04_R1","","","","","async_latest_frame","","5e","","","","","","","","","R04","reliability","No-person with valid face evidence","1","PLANNED","","","","","NO_PERSON candidate should be suppressed when valid face evidence is present","cross-module suppression","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R04_R2","","","","","async_latest_frame","","5e","","","","","","","","","R04","reliability","No-person with valid face evidence","2","PLANNED","","","","","NO_PERSON candidate should be suppressed when valid face evidence is present","cross-module suppression","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","R04_R3","","","","","async_latest_frame","","5e","","","","","","","","","R04","reliability","No-person with valid face evidence","3","PLANNED","","","","","NO_PERSON candidate should be suppressed when valid face evidence is present","cross-module suppression","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K01_R1","","","","","async_latest_frame","","5e","","","","","","","","","K01","known-failure","Closed laptop","1","PLANNED","object","computer_device","","","Diagnostic only; document computer_device versus book_notes confusion","closed laptop","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K01_R2","","","","","async_latest_frame","","5e","","","","","","","","","K01","known-failure","Closed laptop","2","PLANNED","object","computer_device","","","Diagnostic only; document computer_device versus book_notes confusion","closed laptop","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K01_R3","","","","","async_latest_frame","","5e","","","","","","","","","K01","known-failure","Closed laptop","3","PLANNED","object","computer_device","","","Diagnostic only; document computer_device versus book_notes confusion","closed laptop","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K02_R1","","","","","async_latest_frame","","5e","","","","","","","","","K02","known-failure","Thin side view of phone","1","PLANNED","object","phone","","","Diagnostic only; document misses and cross-class confusion","thin phone side view","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K02_R2","","","","","async_latest_frame","","5e","","","","","","","","","K02","known-failure","Thin side view of phone","2","PLANNED","object","phone","","","Diagnostic only; document misses and cross-class confusion","thin phone side view","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K02_R3","","","","","async_latest_frame","","5e","","","","","","","","","K02","known-failure","Thin side view of phone","3","PLANNED","object","phone","","","Diagnostic only; document misses and cross-class confusion","thin phone side view","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K03_R1","","","","","async_latest_frame","","5e","","","","","","","","","K03","known-failure","Small earbuds","1","PLANNED","object","audio_device","","","Diagnostic only; intermittent or missed detection is a documented limitation","earbuds","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K03_R2","","","","","async_latest_frame","","5e","","","","","","","","","K03","known-failure","Small earbuds","2","PLANNED","object","audio_device","","","Diagnostic only; intermittent or missed detection is a documented limitation","earbuds","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K03_R3","","","","","async_latest_frame","","5e","","","","","","","","","K03","known-failure","Small earbuds","3","PLANNED","object","audio_device","","","Diagnostic only; intermittent or missed detection is a documented limitation","earbuds","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K04_R1","","","","","async_latest_frame","","5e","","","","","","","","","K04","known-failure","Wired earphones","1","PLANNED","object","audio_device","","","Diagnostic only; document intermittent or missed detections","wired earphones","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K04_R2","","","","","async_latest_frame","","5e","","","","","","","","","K04","known-failure","Wired earphones","2","PLANNED","object","audio_device","","","Diagnostic only; document intermittent or missed detections","wired earphones","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K04_R3","","","","","async_latest_frame","","5e","","","","","","","","","K04","known-failure","Wired earphones","3","PLANNED","object","audio_device","","","Diagnostic only; document intermittent or missed detections","wired earphones","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K05_R1","","","","","async_latest_frame","","5e","","","","","","","","","K05","known-failure","Background false person","1","PLANNED","","","","","Diagnostic only; no false person or MULTIPLE_PERSONS event is desired","background false person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K05_R2","","","","","async_latest_frame","","5e","","","","","","","","","K05","known-failure","Background false person","2","PLANNED","","","","","Diagnostic only; no false person or MULTIPLE_PERSONS event is desired","background false person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K05_R3","","","","","async_latest_frame","","5e","","","","","","","","","K05","known-failure","Background false person","3","PLANNED","","","","","Diagnostic only; no false person or MULTIPLE_PERSONS event is desired","background false person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K06_R1","","","","","async_latest_frame","","5e","","","","","","","","","K06","known-failure","Distant person","1","PLANNED","","","","","Diagnostic only; observe whether the distant person remains detected and whether a false NO_PERSON state/event occurs.","distant person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K06_R2","","","","","async_latest_frame","","5e","","","","","","","","","K06","known-failure","Distant person","2","PLANNED","","","","","Diagnostic only; observe whether the distant person remains detected and whether a false NO_PERSON state/event occurs.","distant person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K06_R3","","","","","async_latest_frame","","5e","","","","","","","","","K06","known-failure","Distant person","3","PLANNED","","","","","Diagnostic only; observe whether the distant person remains detected and whether a false NO_PERSON state/event occurs.","distant person","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K07_R1","","","","","async_latest_frame","","5e","","","","","","","","","K07","known-failure","Large head turn","1","PLANNED","","","","","Diagnostic only; inspect pose flip, direction reversal, and gaze reliability","large head turn","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K07_R2","","","","","async_latest_frame","","5e","","","","","","","","","K07","known-failure","Large head turn","2","PLANNED","","","","","Diagnostic only; inspect pose flip, direction reversal, and gaze reliability","large head turn","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","K07_R3","","","","","async_latest_frame","","5e","","","","","","","","","K07","known-failure","Large head turn","3","PLANNED","","","","","Diagnostic only; inspect pose flip, direction reversal, and gaze reliability","large head turn","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
